store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_00001,2026-05-30T02:17:49Z,660.58
STORE_BLR_002,TXN_00002,2026-05-30T02:22:57Z,2886.61
STORE_BLR_002,TXN_00003,2026-05-30T02:23:32Z,2336.07
STORE_BLR_002,TXN_00004,2026-05-30T02:24:16Z,1519.05
STORE_BLR_002,TXN_00005,2026-05-30T02:24:24Z,541.09
STORE_BLR_002,TXN_00006,2026-05-30T02:24:32Z,2528.78
STORE_BLR_002,TXN_00007,2026-05-30T02:26:52Z,3181.71
STORE_BLR_002,TXN_00008,2026-05-30T02:28:37Z,2404.63
STORE_BLR_002,TXN_00009,2026-05-30T02:28:38Z,1505.70
STORE_BLR_002,TXN_00010,2026-05-30T03:54:56Z,1349.93
STORE_BLR_002,TXN_00011,2026-05-30T02:41:18Z,3186.02
STORE_BLR_002,TXN_00012,2026-05-30T02:40:19Z,2139.99
STORE_BLR_002,TXN_00013,2026-05-30T02:40:22Z,2004.08
STORE_BLR_002,TXN_00014,2026-05-30T02:43:41Z,880.03
STORE_BLR_002,TXN_00015,2026-05-30T02:47:05Z,3113.12
STORE_BLR_002,TXN_00016,2026-05-30T02:46:26Z,3028.88
STORE_BLR_002,TXN_00017,2026-05-30T02:46:40Z,2733.96
STORE_BLR_002,TXN_00018,2026-05-30T02:49:48Z,1269.81
STORE_BLR_002,TXN_00019,2026-05-30T02:53:18Z,2991.35
STORE_BLR_002,TXN_00020,2026-05-30T02:51:42Z,1253.57
STORE_BLR_002,TXN_00021,2026-05-30T02:55:00Z,1906.82
STORE_BLR_002,TXN_00022,2026-05-30T04:11:11Z,3217.46
STORE_BLR_002,TXN_00023,2026-05-30T02:58:32Z,1042.63
STORE_BLR_002,TXN_00024,2026-05-30T02:59:27Z,964.32
STORE_BLR_002,TXN_00025,2026-05-30T02:59:34Z,1475.01
STORE_BLR_002,TXN_00026,2026-05-30T03:03:13Z,627.85
STORE_BLR_002,TXN_00027,2026-05-30T03:09:33Z,1225.15
STORE_BLR_002,TXN_00028,2026-05-30T03:13:02Z,1360.90
STORE_BLR_002,TXN_00029,2026-05-30T03:13:59Z,3191.68
STORE_BLR_002,TXN_00030,2026-05-30T03:21:29Z,1699.67
STORE_BLR_002,TXN_00031,2026-05-30T03:22:09Z,477.42
STORE_BLR_002,TXN_00032,2026-05-30T03:24:34Z,596.20
STORE_BLR_002,TXN_00033,2026-05-30T03:23:21Z,749.38
STORE_BLR_002,TXN_00034,2026-05-30T03:25:04Z,3435.23
STORE_BLR_002,TXN_00035,2026-05-30T03:27:13Z,3216.00
STORE_BLR_002,TXN_00036,2026-05-30T04:00:58Z,2114.43
STORE_BLR_002,TXN_00037,2026-05-30T03:33:17Z,259.56
STORE_BLR_002,TXN_00038,2026-05-30T03:35:35Z,357.64
STORE_BLR_002,TXN_00039,2026-05-30T03:39:59Z,1346.95
STORE_BLR_002,TXN_00040,2026-05-30T03:41:07Z,520.90
STORE_BLR_002,TXN_00041,2026-05-30T03:43:25Z,2886.98
STORE_BLR_002,TXN_00042,2026-05-30T03:44:44Z,2137.39
STORE_BLR_002,TXN_00043,2026-05-30T03:45:45Z,2587.88
STORE_BLR_002,TXN_00044,2026-05-30T03:50:07Z,2575.34
STORE_BLR_002,TXN_00045,2026-05-30T03:52:01Z,2903.50
STORE_BLR_002,TXN_00046,2026-05-30T03:51:24Z,891.90
STORE_BLR_002,TXN_00047,2026-05-30T03:51:44Z,936.45
STORE_BLR_002,TXN_00048,2026-05-30T03:56:18Z,2237.43
STORE_BLR_002,TXN_00049,2026-05-30T03:56:25Z,2945.11
STORE_BLR_002,TXN_00050,2026-05-30T03:57:54Z,1883.39
STORE_BLR_002,TXN_00051,2026-05-30T03:57:53Z,1303.35
STORE_BLR_002,TXN_00052,2026-05-30T03:59:43Z,2353.63
STORE_BLR_002,TXN_00053,2026-05-30T04:17:41Z,1213.57
STORE_BLR_002,TXN_00054,2026-05-30T04:02:11Z,3264.63
STORE_BLR_002,TXN_00055,2026-05-30T04:04:16Z,508.77
STORE_BLR_002,TXN_00056,2026-05-30T04:05:54Z,2872.03
STORE_BLR_002,TXN_00057,2026-05-30T04:08:18Z,2281.61
STORE_BLR_002,TXN_00058,2026-05-30T04:14:05Z,886.16
STORE_BLR_002,TXN_00059,2026-05-30T04:17:33Z,3002.93
STORE_BLR_002,TXN_00060,2026-05-30T04:17:15Z,1540.32
STORE_BLR_002,TXN_00061,2026-05-30T04:19:16Z,1951.89
STORE_BLR_002,TXN_00062,2026-05-30T04:18:29Z,2918.00
STORE_BLR_002,TXN_00063,2026-05-30T04:22:09Z,2437.55
STORE_BLR_002,TXN_00064,2026-05-30T04:23:20Z,1898.79
STORE_BLR_002,TXN_00065,2026-05-30T04:24:14Z,473.04
